# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.
STR_0028    :Statek piracki
STR_0784    :6
STR_0785    :7
STR_0786    :8
STR_0787    :9
STR_0788    :10
STR_0789    :11
STR_0790    :12
STR_0791    :13
STR_0792    :14
STR_0793    :15
STR_0794    :16
STR_0795    :17
STR_0796    :18
STR_0797    :19
STR_0798    :20
STR_0799    :21
STR_0800    :22
STR_0801    :23
STR_0802    :24
STR_0803    :25
STR_0804    :26
STR_0805    :27
STR_0806    :28
STR_0807    :29
STR_0808    :30
STR_0809    :31
STR_0810    :Sty
STR_0811    :Lut
STR_0812    :Mar
STR_0813    :Kwi
STR_0814    :Maj
STR_0815    :Cze
STR_0816    :Lip
STR_0817    :Sie
STR_0818    :Wrz
STR_0819    :Paź
STR_0820    :Lis
STR_0821    :Gru
STR_0822    :Nie można otworzyć pliku danych grafiki
STR_0823    :Plik danych grafiki nie istnieje lub jest niedostępny
STR_0824    :{BLACK}{CROSS}
STR_0825    :Wybrana nazwa jest już w użyciu
STR_0826    :Zdefiniowano za dużo nazw
STR_0827    :Za mało pieniędzy - potrzeba {CURRENCY2DP}
STR_0828    :{SMALLFONT}{BLACK}Zamknij okno
STR_0829    :{SMALLFONT}{BLACK}Przeciągnij tą belkę, by przesunąć okno
STR_0830    :{SMALLFONT}{BLACK}Przybliż widok
STR_0831    :{SMALLFONT}{BLACK}Oddal widok
STR_0832    :{SMALLFONT}{BLACK}Obróć widok o 90{DEGREE}
STR_0833    :{SMALLFONT}{BLACK}Pauza
STR_0834    :{SMALLFONT}{BLACK}Menu zapisu i opcji
STR_0835    :Inicjalizacja gry nie powiodła się
STR_0836    :Nie można uruchomić gry w trybie zminimalizowanym
STR_0837    :Nie można zainicjalizować systemu graficznego
STR_0839    :{UINT16} x {UINT16}
STR_0840    :{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{UINT16} x {UINT16}
# The following six strings were used for display resolutions, but have been replaced.
STR_0847    :O 'OpenRCT2'
STR_0848    :RollerCoaster Tycoon 2
STR_0877    :Za nisko !
STR_0878    :Za wysoko !
STR_0879    :Nie można tu obniżyć terenu...
STR_0880    :Nie można tu podnieść terenu...
STR_0881    :Obiekt blokuje
STR_0882    :Wczytaj grę
STR_0883    :Zapisz grę
STR_0884    :Wczytaj Krajobraz
STR_0885    :Zapisz Krajobraz
STR_0886    :Wyjdź z Gry
STR_0887    :Wyjdź z Edytora Scenariuszy
STR_0888    :Wyjdź z Projektanta Kolejek
STR_0889    :Wyjdź z Menadżera Projektów Tras
STR_0890    :<removed string - do not use>
STR_0891    :Zrzut ekranu
STR_0892    :Zrzut ekranu zapisany jako '{STRINGID}'
STR_0893    :Zrzut ekranu nieudany !
STR_0907    :Nachylenie
STR_0934    :Wejście blokuje
STR_0935    :Wyjście blokuje
STR_0936    :Wejście do parku blokuje
STR_0937    :{SMALLFONT}{BLACK}Opcje widoku
STR_0938    :{SMALLFONT}{BLACK}Zmień wysokość i kształt terenu
STR_0939    :Widok podziemny
STR_0940    :Ukryj powierzchnię ziemi
STR_0941    :Ukryj pionowe ściany
STR_0942    :Przezroczyste atrakcje
STR_0943    :Przezroczysta sceneria
STR_0944    :Zapisz
STR_0945    :Nie zapisuj
STR_0946    :Anuluj
STR_0947    :Zapisać przed wczytaniem ?
STR_0948    :Zapisać przed wyjściem ?
STR_0949    :Zapisać przed wyjściem ?
STR_0950    :Wczytaj Grę
STR_0951    :Wyjdź z Gry
STR_0952    :Wyjdź z Gry
STR_0953    :Wczytaj Krajobraz
STR_0954    :
STR_0955    :{SMALLFONT}{BLACK}Ustaw kąt obrotu siedzeń w tej sekcji toru
STR_0956    :-180{DEGREE}
STR_0957    :-135{DEGREE}
STR_0958    :-90{DEGREE}
STR_0959    :-45{DEGREE}
STR_0960    :0{DEGREE}
STR_0961    :+45{DEGREE}
STR_0962    :+90{DEGREE}
STR_0963    :+135{DEGREE}
STR_0964    :+180{DEGREE}
STR_0965    :+225{DEGREE}
STR_0966    :+270{DEGREE}
STR_0967    :+315{DEGREE}
STR_0968    :+360{DEGREE}
STR_0969    :+405{DEGREE}
STR_0970    :+450{DEGREE}
STR_0971    :+495{DEGREE}
STR_0972    :Anuluj
STR_0973    :OK
STR_0974    :Atrakcje
STR_0975    :Sklepy
STR_0976    :Toalety i Punkty Informacyjne
STR_0977    :Nowe atrakcje transportowe
STR_0978    :Nowe łagodne atrakcje
STR_0979    :Nowe kolejki górskie
STR_0980    :Nowe intensywne atrakcje
STR_0981    :Nowe wodne atrakcje
STR_0982    :Nowe sklepiki lub stoiska
STR_0983    :Badania i rozwój
STR_0984    :{WINDOW_COLOUR_2}{UP}{BLACK}  {CURRENCY2DP}
STR_0985    :{WINDOW_COLOUR_2}{DOWN}{BLACK}  {CURRENCY2DP}
STR_0986    :{BLACK}{CURRENCY2DP}
STR_0987    :Zbyt wiele atrakcji
STR_0988    :Nie można stworzyć nowej atrakcji...
STR_0989    :{STRINGID}
STR_0991    :Platforma ze stacją
STR_0992    :{SMALLFONT}{BLACK}Zniszcz całą atrakcję
STR_0993    :Zniszcz atrakcję
STR_0994    :Zniszcz
STR_0995    :{WINDOW_COLOUR_1}Jesteś pewien, że chcesz zniszczyć {STRINGID}?
STR_0996    :Widok ogólny
STR_0997    :{SMALLFONT}{BLACK}Wybór widoku
STR_0998    :Nie można utworzyć więcej stacji dla tej atrakcji
STR_0999    :Wymaga platformy ze stacją
STR_1000    :Tor nie jest obwodem zamkniętym
STR_1001    :Tor nieodpowiedni dla tego typu kolejki
STR_1002    :Nie można otworzyć {POP16}{POP16}{POP16}{STRINGID}...
STR_1003    :Nie można testować {POP16}{POP16}{POP16}{STRINGID}...
STR_1004    :Nie można zamknąć {POP16}{POP16}{POP16}{STRINGID}...
STR_1005    :Nie można rozpocząć konstrukcji {POP16}{POP16}{POP16}{STRINGID}...
STR_1006    :Musi być najpierw zamknięte
STR_1007    :Nie można utworzyć wystarczająco wagonów
STR_1008    :{SMALLFONT}{BLACK}Otwórz, zamknij lub testuj atrakcję
STR_1009    :{SMALLFONT}{BLACK}Otwórz / zamknij wszystkie atrakcje
STR_1010    :{SMALLFONT}{BLACK}Otwórz / zamknij park
STR_1011    :Zamknij wszystkie
STR_1012    :Otwórz wszystkie
STR_1013    :Zamknij park
STR_1014    :Otwórz park
STR_1027    :{SMALLFONT}{BLACK}Zlokalizuj na głównym oknie
STR_1036    :Wczytaj grę
STR_1037    :Wczytaj krajobraz
STR_1038    :Przekonwertuj zapis gry do scenariusza
STR_1039    :Dodaj nowy projekt trasy
STR_1040    :Zapisz grę
STR_1041    :Zapisz scenariusz
STR_1042    :Zapisz krajobraz
STR_1043    :Zapis gry OpenRCT2
STR_1044    :Scenariusz OpenRCT2
STR_1045    :Krajobrazu OpenRCT2
STR_1046    :Projekt trasy OpenRCT2
STR_1047    :Zapis gry nieudany!
STR_1048    :Zapis scenariusza nieudany!
STR_1049    :Zapis krajobrazu nieudany!
STR_1050    :Nie udało się wczytać...{NEWLINE}Plik zawiera błędne dane!
STR_1051    :Przezroczyste wsporniki
STR_1052    :Przezroczyści ludzie
STR_1053    :{SMALLFONT}{BLACK}Atrakcje w parku
STR_1054    :{SMALLFONT}{BLACK}Nazwij atrakcję
STR_1055    :{SMALLFONT}{BLACK}Nazwij osobę
STR_1056    :{SMALLFONT}{BLACK}Nazwij pracownika
STR_1057    :Nazwa kolejki/atrakcji
STR_1058    :Wprowadź nową nazwę dla tej kolejki/atrakcji
STR_1059    :Nie można zmienić nazwy kolejki/atrakcji...
STR_1060    :Nieprawidłowa nazwa kolejki/atrakcji
STR_1148    :25% zapełnienia
STR_1149    :50% zapełnienia
STR_1150    :70% zapełnienia
STR_1151    :100% zapełnienia
STR_1152    :dowolne zapełnienie
STR_1153    :Znaczniki wysokości torów
STR_1154    :Znaczniki wysokości terenu
STR_1155    :Znaczniki wysokości chodników
STR_1156    :{MOVE_X}{SMALLFONT}{STRINGID}
STR_1157    :{TICK}{MOVE_X}{SMALLFONT}{STRINGID}
STR_1158    :Nie można tego usunąć...
STR_1159    :{SMALLFONT}{BLACK}Buduj scenerię, ogrody i inne akcesoria
STR_1160    :{SMALLFONT}{BLACK}Twórz i zmieniaj obszary wodne
STR_1161    :Nie można tego tu umieścić...
STR_1162    :{OUTLINE}{TOPAZ}{STRINGID}
STR_1163    :{STRINGID}{NEWLINE}(Kliknij PPM by zmodyfikować)
STR_1164    :{STRINGID}{NEWLINE}(Kliknij PPM by usunąć)
STR_1165    :{STRINGID} - {STRINGID} {COMMA16}
STR_1166    :Nie można tu obniżyć poziomu wody...
STR_1167    :Nie można tu podnieść poziomu wody...
STR_1168    :Opcje
STR_1169    :(Brak)
STR_1170    :{STRING}
STR_1171    :{RED}Zamknięte - -
STR_1172    :{YELLOW}{STRINGID} - - 
STR_1173    :{SMALLFONT}{BLACK}Budowa chodników
STR_1174    :Baner blokuje
STR_1175    :Nie można tego postawić na nierównej ścieżce
STR_1176    :Nie można tu postawić ścieżki...
STR_1177    :Nie można stąd usunąć ścieżki...
STR_1178    :Nieodpowiedni kształt terenu
STR_1179    :Ścieżka blokuje
STR_1180    :Nie można tego budować pod wodą!
STR_1181    :Chodniki
STR_1182    :Typ
STR_1183    :Kierunek
STR_1184    :Nachylenie
STR_1185    :{SMALLFONT}{BLACK}Kierunek
STR_1186    :{SMALLFONT}{BLACK}W dół
STR_1187    :{SMALLFONT}{BLACK}Poziomo
STR_1188    :{SMALLFONT}{BLACK}W górę
STR_1189    :{SMALLFONT}{BLACK}Postaw wybraną sekcję ścieżki
STR_1190    :{SMALLFONT}{BLACK}Usuń poprzednią sekcję ścieżki
STR_1191    :{BLACK}{STRINGID}
STR_1192    :{OUTLINE}{RED}{STRINGID}
STR_1193    :{WINDOW_COLOUR_2}{STRINGID}
STR_1194    :Zamknięty
STR_1195    :Testowany
STR_1196    :Otwarty
STR_1197    :Zepsuty
STR_1198    :Katastrofa!
STR_1199    :{COMMA16} osoba korzysta
STR_1200    :{COMMA16} osób korzysta
STR_1201    :Kolejka pusta
STR_1202    :1 osoba w kolejce
STR_1203    :{COMMA16} osób w kolejce
STR_1204    :{COMMA16} minuta czekania
STR_1205    :{COMMA16} minut czekania
STR_1206    :{WINDOW_COLOUR_2}Czekaj na:
STR_1207    :{WINDOW_COLOUR_2}Wyrusz, gdy inna kolejka trafi na tą samą stację
STR_1208    :{WINDOW_COLOUR_2}Wyrusz, gdy inna łódka trafi na tą samą stację
STR_1209    :{SMALLFONT}{BLACK}Ustal, czy pojazdy powinny czekać na pasażerów przed wyruszeniem ze stacji
STR_1210    :{SMALLFONT}{BLACK}Ustal, czy pojazdy powinny wyruszać ze stacj gdy tylko inny pojazd dotrze do tej samej stacji
STR_1211    :{WINDOW_COLOUR_2}Minimalny czas oczekiwania:
STR_1212    :{WINDOW_COLOUR_2}Maksymalny czas oczekiwania:
STR_1213    :{SMALLFONT}{BLACK}Wybierz minimalny czas oczekiwania na stacji przed wyruszeniem
STR_1214    :{SMALLFONT}{BLACK}Wybierz maksymalny czas oczekiwania na stacji przed wyruszeniem
STR_1215    :{WINDOW_COLOUR_2}Synchronizuj z sąsiadującymi stacjami
STR_1216    :{SMALLFONT}{BLACK}Wybierz, czy kolejki mają synchronizować start z innymi stacjami (dla 'wyścigów')
STR_1217    :{COMMA16} sekund
STR_1218    :{BLACK}{SMALLUP}
STR_1219    :{BLACK}{SMALLDOWN}
STR_1223    :{SMALLFONT}{BLACK}Atrakcje transportowe
STR_1224    :{SMALLFONT}{BLACK}Łagodne atrakcje
STR_1225    :{SMALLFONT}{BLACK}Kolejki górskie
STR_1226    :{SMALLFONT}{BLACK}Emocjonujące atrakcje
STR_1227    :{SMALLFONT}{BLACK}Atrakcje wodne
STR_1228    :{SMALLFONT}{BLACK}Sklepiki i kioski
STR_1313    :gracz
STR_1314    :graczy
STR_1315    :Gracz
STR_1316    :Graczy
STR_1317    :{COMMA16} gracz
STR_1318    :{COMMA16} graczy
STR_1319    :Gracz {COMMA16}
STR_1411    :{STRINGID} blokuje
STR_1412    :{WINDOW_COLOUR_3}Zbieranie danych nie jest dostępne dla tego typu atrakcji
STR_1413    :{WINDOW_COLOUR_3}Zbieranie danych rozpocznie się gdy następny {STRINGID} opuści {STRINGID}
STR_1414    :{SMALLFONT}{BLACK}{DURATION}
STR_1415    :{WINDOW_COLOUR_2}Prędkość
STR_1416    :{WINDOW_COLOUR_2}Wysokość
STR_1417    :{WINDOW_COLOUR_2}Pionowe G
STR_1418    :{WINDOW_COLOUR_2}Boczne G
STR_1419    :{SMALLFONT}{BLACK}{VELOCITY}
STR_1420    :{SMALLFONT}{BLACK}{LENGTH}
STR_1421    :{SMALLFONT}{BLACK}{COMMA16}g
STR_1422    :{SMALLFONT}{BLACK}Dane zebrane z {POP16}{STRINGID}
STR_1423    :{SMALLFONT}{BLACK}Kolejka do atrakcji
STR_1424    :{SMALLFONT}{BLACK}Chodnik
STR_1425    :Chodnik
STR_1426    :Kolejka
STR_1427    :{WINDOW_COLOUR_2}Klienci: {BLACK}{COMMA32} na godzinę
STR_1428    :{WINDOW_COLOUR_2}Cena wstępu:
STR_1429    :{POP16}{POP16}{POP16}{CURRENCY2DP}
STR_1430    :Za darmo
STR_1431    :Spaceruje
STR_1432    :Idzie na {STRINGID}
STR_1433    :Czeka w kolejce na {STRINGID}
STR_1434    :Tonie
#On, In, At
STR_1435    :Na {STRINGID}
STR_1436    :W {STRINGID}
STR_1437    :W {STRINGID}
STR_1438    :Siedzi
STR_1439    :(wybierz lokację)
STR_1440    :Kosi trawę
STR_1441    :Zamiata chodnik
STR_1442    :Opróżnia kosz na śmieci
STR_1443    :Podlewa kwiaty
STR_1444    :Ogląda {STRINGID}
STR_1445    :Ogląda budowę {STRINGID}
STR_1446    :Ogląda dekoracje
STR_1447    :Opuszcza park
STR_1448    :Ogląda budowę nowej atrakcji
STR_1449    :{SPRITE} {STRINGID}{NEWLINE}({STRINGID})
STR_1450    :{INLINE_SPRITE}{09}{20}{00}{00}{SPRITE} {STRINGID}{NEWLINE}({STRINGID})
STR_1451    :{STRINGID}{NEWLINE}({STRINGID})
STR_1452    :Imię gościa
STR_1453    :Nowe imię dla gościa:
STR_1454    :Nie można tak nazwać gościa...
STR_1455    :Niewłaściwe imię dla gościa
STR_1456    :{WINDOW_COLOUR_2}Wydał: {BLACK}{CURRENCY2DP}
STR_1457    :{WINDOW_COLOUR_2}Pieniędzy w kieszeni: {BLACK}{CURRENCY2DP}
STR_1458    :{WINDOW_COLOUR_2}Czas w parku: {BLACK}{REALTIME}
STR_1654    :{WINDOW_COLOUR_2}Ostatnie myśli:
STR_1655    :{SMALLFONT}{BLACK}Buduj ścieżki na ziemi
STR_1656    :{SMALLFONT}{BLACK}Buduj ścieżki w powietrzu lub pod ziemią
STR_1657    :{WINDOW_COLOUR_2}Preferowana
STR_1658    :{WINDOW_COLOUR_2}intensywność: {BLACK}poniżej {COMMA16}
STR_1659    :{WINDOW_COLOUR_2}intensywność: {BLACK}między {COMMA16} a {COMMA16}
STR_1660    :{WINDOW_COLOUR_2}intensywność: {BLACK}powyżej {COMMA16}
STR_1661    :{WINDOW_COLOUR_2}Odporność na mdłości: {BLACK}{STRINGID}
STR_1662    :{WINDOW_COLOUR_2}Szczęście:
STR_1663    :{WINDOW_COLOUR_2}Mdłości:
STR_1664    :{WINDOW_COLOUR_2}Energia:
STR_1665    :{WINDOW_COLOUR_2}Głód:
STR_1666    :{WINDOW_COLOUR_2}Pragnienie:
STR_1667    :{WINDOW_COLOUR_2}Pęcherz:
STR_1674    :Prędkość hamowania
STR_1699    :Za dużo ludzi w grze
STR_1700    :Zatrudnij nowego dozorcę
STR_1701    :Zatrudnij nowego mechan.
STR_1702    :Zatrudnij nowego ochron.
STR_1703    :Zatrudnij nowego komika
STR_1704    :Nie można zatrudnić nowych pracowników...
STR_1706    :{SMALLFONT}{BLACK}Przenieś tę osobę do nowej lokalizacji
STR_1716    :Niewłaściwa nazwa dla parku!
STR_1717    :Nie można zmienić nazwy parku...
STR_1718    :Nazwa parku
STR_1719    :Podaj nową nazwę parku
STR_1720    :{SMALLFONT}{BLACK}Nazwij park
STR_1721    :Park zamknięty
STR_1722    :Park otwarty
STR_1723    :Nie można otworzyć parku...
STR_1724    :Nie można zamknąć parku...
STR_1725    :Nie można kupić ziemi...
STR_1726    :Teren nie jest na sprzedaż!
STR_1727    :Prawa do budowy nie są na sprzedaż!
STR_1728    :Nie można tu kupić praw do budowy...
STR_1729    :Teren nie należy do parku!
STR_1730    :{RED}Zamknięte - - 
STR_1731    :{WHITE}{STRINGID} - - 
STR_1732    :Buduj
STR_1733    :Tryb
STR_1734    :{WINDOW_COLOUR_2}Liczba okrążeń:
STR_1735    :{SMALLFONT}{BLACK}Number of laps of circuit
STR_1736    :{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{COMMA16}
STR_1737    :{COMMA16}
STR_1738    :Nie można zmienić liczby okrążeń...
STR_1777    :{WINDOW_COLOUR_2}Muzyka atrakcji
STR_1814    :Akcje
STR_1815    :Myśli
STR_1818    :{WINDOW_COLOUR_2}Wszycy goście
STR_1819    :{WINDOW_COLOUR_2}Wszyscy goście (pogrupowani)
STR_1826    :Stan
STR_1827    :Popularność
STR_1828    :Satysfakcja
STR_1829    :Zysk
STR_1830    :Długość kolejki
STR_1831    :Czas w kolejce
STR_1832    :Niezawodność
STR_1833    :Przestoje
STR_1834    :Ulubieniec gości
STR_1835    :Popularność: Nieznana
STR_1836    :Popularność: {COMMA16}%
STR_1837    :Satysfakcja: Nieznana
STR_1838    :Satysfakcja: {COMMA16}%
STR_1839    :Niezawodność: {COMMA16}%
STR_1840    :Przestoje w pracy: {COMMA16}%
STR_1841    :Zysk: {CURRENCY} na godzinę
STR_1842    :Ulubiony dla: {COMMA16} gościa
STR_1843    :Ulubiony dla: {COMMA16} gości
STR_1844    :{SMALLFONT}{BLACK}Wybierz rodzaj informacji do pokazania
STR_1845    :{MONTHYEAR}
STR_1846    :{COMMA16} gości
STR_1847    :{INLINE_SPRITE}{11}{20}{00}{00}{COMMA16} gości
STR_1848    :{INLINE_SPRITE}{10}{20}{00}{00}{COMMA16} gości
STR_1849    :{WINDOW_COLOUR_2}Graj muzykę
STR_1850    :{SMALLFONT}{BLACK}Wybierz, czy w tej atrakcji może grać muzyka
STR_1851    :{WINDOW_COLOUR_2}Koszty utrzymania: {BLACK}{CURRENCY2DP} na godzinę
STR_1852    :{WINDOW_COLOUR_2}Koszty utrzymania: {BLACK}Nieznane
STR_1853    :{WINDOW_COLOUR_2}Zbudowany: {BLACK}W tym roku
STR_1854    :{WINDOW_COLOUR_2}Zbudowany: {BLACK}W zeszłym roku
STR_1855    :{WINDOW_COLOUR_2}Zbudowany: {BLACK}{COMMA16} lat temu
STR_1856    :{WINDOW_COLOUR_2}Zysk na sztuce: {BLACK}{CURRENCY2DP}
STR_1857    :{WINDOW_COLOUR_2}Strata na sztuce: {BLACK}{CURRENCY2DP}
# could be "pensja" but I'm not sure if it's used outside of staff window
STR_1858    :{WINDOW_COLOUR_2}Koszt: {BLACK}{CURRENCY} miesięcznie
STR_1859    :dozorcy
STR_1860    :mechanicy
STR_1861    :strażnicy
STR_1862    :klauni
STR_1863    :dozorca
STR_1864    :mechanik
STR_1865    :strażnik
STR_1866    :klaun
STR_1867    :{BLACK}{COMMA16} {STRINGID}
STR_1896    :{WINDOW_COLOUR_2}Przychody/wydatki
STR_1897    :{WINDOW_COLOUR_2}Budowa atrakcji
STR_1898    :{WINDOW_COLOUR_2}Utrzymanie atrakcji
STR_1899    :{WINDOW_COLOUR_2}Kupno ziemi
STR_1900    :{WINDOW_COLOUR_2}Kształtowanie terenu
STR_1901    :{WINDOW_COLOUR_2}Bilety wstępu do parku
STR_1902    :{WINDOW_COLOUR_2}Bilety na atrakcje
STR_1903    :{WINDOW_COLOUR_2}Zyski sklepów
STR_1904    :{WINDOW_COLOUR_2}Uzupełnianie sklepów
STR_1905    :{WINDOW_COLOUR_2}Zyski z żywności
STR_1906    :{WINDOW_COLOUR_2}Zakup żywności
STR_1907    :{WINDOW_COLOUR_2}Pensje
STR_1908    :{WINDOW_COLOUR_2}Marketing
STR_1909    :{WINDOW_COLOUR_2}Badania
STR_1910    :{WINDOW_COLOUR_2}Odsetki
STR_1911    :{BLACK} odsetki: {COMMA16}% rocznie
STR_1912    :{MONTH}
STR_1913    :{BLACK}+{CURRENCY2DP}
STR_1914    :{BLACK}{CURRENCY2DP}
STR_1915    :{RED}{CURRENCY2DP}
STR_1916    :{WINDOW_COLOUR_2}Pożyczka:
STR_1917    :{POP16}{POP16}{POP16}{CURRENCY}
STR_1918    :Nie można pożyczyć więcej pieniędzy!
STR_1919    :Za mało pieniędzy!
STR_1920    :Nie można spłacić pożyczki!
STR_1921    :{SMALLFONT}{BLACK}Nowa gra
STR_1922    :{SMALLFONT}{BLACK}Kontynuuj zapisaną grę
STR_1923    :{SMALLFONT}{BLACK}Samouczek
STR_1924    :{SMALLFONT}{BLACK}Wyjdź
STR_1925    :Nie można postawić tutaj osoby...
STR_1926    :{SMALLFONT}
STR_1927    :{YELLOW}{STRINGID} has broken down
STR_1928    :{RED}{STRINGID} has crashed!
STR_1929    :{RED}Atrakcja {STRINGID} wziąż nie została naprawiona.{NEWLINE}Sprawdź gdzie znajdują się twoi mechanicy i rozważ lepszą organizację ich pracy
